09:05:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:05:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:06:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:06:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:06:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:07:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:07:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:08:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:08:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:08:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:09:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:09:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:10:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:10:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:11:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:11:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:11:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:12:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:12:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:13:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:13:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:14:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:14:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:14:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:15:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:15:41, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:16:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:16:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:16:56, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:17:21, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:17:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:18:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:18:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:19:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:19:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:19:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:20:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:20:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:21:07, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:21:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:21:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:22:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:22:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:23:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:23:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:24:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:24:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:24:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:25:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:25:43, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:26:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:26:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:26:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:27:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:27:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:28:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:28:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:29:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:29:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:29:54, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:30:19, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:30:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:31:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:31:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:32:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:32:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:32:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:33:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:33:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:34:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:34:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:34:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:35:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:35:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:36:11, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:36:36, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:37:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:37:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:37:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:38:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:38:41, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:39:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:39:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:39:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:40:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:40:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:41:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:41:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:42:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:42:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:42:52, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:43:17, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:43:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:44:08, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:44:33, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:44:58, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:45:23, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:45:48, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:46:13, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:46:38, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:47:03, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:47:28, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:47:53, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:48:18, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:48:44, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:49:09, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:49:34, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:49:59, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:50:24, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:50:49, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:51:14, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:51:39, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:52:04, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:52:29, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:52:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:53:20, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:53:45, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:54:10, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:54:35, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:55:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:55:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:55:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:56:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:56:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:57:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:57:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:57:56, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:58:21, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:58:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:59:11, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
09:59:36, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:00:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:00:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:00:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:01:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:01:42, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:02:07, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:02:32, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:02:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:03:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:03:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:04:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:04:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:05:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:05:27, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
